"Canada Mortgage and Housing Corporation, housing starts, under construction and completions, all areas, quarterly c 1 2 3"
"Frequency: Quarterly"
"Table: 34-10-0135-01 (formerly CANSIM 027-0008)"
"Release date: 2025-10-17"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

,,"Housing estimates","Housing starts",,,,,
,,"Type of unit","Total units","Single-detached","Multiples","Semi-detached","Row","Apartment and other unit type"
"Geography","Seasonal adjustment","Reference period"
"Canada",,,"Units",,,,,
,,"Q3 2013","..","..","..","..","..",".."
,,"Q4 2013","..","..","..","..","..",".."
,,"Q1 2014","..","..","..","..","..",".."
,,"Q2 2014","..","..","..","..","..",".."
,,"Q3 2014","..","..","..","..","..",".."
,,"Q4 2014","..","..","..","..","..",".."
,,"Q1 2015","..","..","..","..","..",".."
,,"Q2 2015","..","..","..","..","..",".."
,,"Q3 2015","..","..","..","..","..",".."
,,"Q4 2015","..","..","..","..","..",".."
,,"Q1 2016","..","..","..","..","..",".."
,,"Q2 2016","..","..","..","..","..",".."
,,"Q3 2016","..","..","..","..","..",".."
,,"Q4 2016","..","..","..","..","..",".."
,,"Q1 2017","..","..","..","..","..",".."
,,"Q2 2017","..","..","..","..","..",".."
,,"Q3 2017","..","..","..","..","..",".."
,,"Q4 2017","..","..","..","..","..",".."
,,"Q1 2018","..","..","..","..","..",".."
,,"Q2 2018","..","..","..","..","..",".."
,,"Q3 2018","..","..","..","..","..",".."
,,"Q4 2018","..","..","..","..","..",".."
,,"Q1 2019","..","..","..","..","..",".."
,,"Q2 2019","..","..","..","..","..",".."
,,"Q3 2019","..","..","..","..","..",".."
,,"Q4 2019","..","..","..","..","..",".."
,,"Q1 2020","..","..","..","..","..",".."
,,"Q2 2020","..","..","..","..","..",".."
,,"Q3 2020","..","..","..","..","..",".."
,,"Q4 2020","..","..","..","..","..",".."
,,"Q1 2021","..","..","..","..","..",".."
,,"Q2 2021","..","..","..","..","..",".."
,,"Q3 2021","..","..","..","..","..",".."
,,"Q4 2021","..","..","..","..","..",".."
,,"Q1 2022","..","..","..","..","..",".."
,,"Q2 2022","..","..","..","..","..",".."
,,"Q3 2022","..","..","..","..","..",".."
,,"Q4 2022","..","..","..","..","..",".."
,,"Q1 2023","..","..","..","..","..",".."
,,"Q2 2023","..","..","..","..","..",".."
,,"Q3 2023","..","..","..","..","..",".."
,,"Q4 2023","..","..","..","..","..",".."
,,"Q1 2024","..","..","..","..","..",".."
,,"Q2 2024","..","..","..","..","..",".."
,,"Q3 2024","..","..","..","..","..",".."
,,"Q4 2024","..","..","..","..","..",".."
,,"Q1 2025","..","..","..","..","..",".."
,,"Q2 2025","..","..","..","..","..",".."
,,"Q3 2025","..","..","..","..","..",".."
"Newfoundland and Labrador",,"Q1 2010","436","361","75","4","29","42"
,,"Q2 2010","1,127","914","213","56","75","82"
,,"Q3 2010","1,166","987","179","28","21","130"
,,"Q4 2010","877","679","198","38","24","136"
,,"Q1 2011","365","273","92","5","16","71"
,,"Q2 2011","988","724","264","17","30","217"
,,"Q3 2011","1,208","902","306","22","44","240"
,,"Q4 2011","927","713","214","43","45","126"
,,"Q1 2012","376","219","157","6","10","141"
,,"Q2 2012","1,077","706","371","44","23","304"
,,"Q3 2012","1,434","917","517","16","47","454"
,,"Q4 2012","998","681","317","22","41","254"
,,"Q1 2013","275","201","74","0","19","55"
,,"Q2 2013","863","700","163","18","29","116"
,,"Q3 2013","863","710","153","8","19","126"
,,"Q4 2013","861","614","247","10","29","208"
,,"Q1 2014","214","134","80","0","0","80"
,,"Q2 2014","608","480","128","14","35","79"
,,"Q3 2014","744","589","155","24","50","81"
,,"Q4 2014","553","467","86","13","14","59"
,,"Q1 2015","238","103","135","4","0","131"
,,"Q2 2015","419","352","67","12","23","32"
,,"Q3 2015","552","447","105","24","19","62"
,,"Q4 2015","488","369","119","20","18","81"
,,"Q1 2016","172","137","35","10","0","25"
,,"Q2 2016","390","310","80","32","13","35"
,,"Q3 2016","455","378","77","42","8","27"
,,"Q4 2016","381","283","98","33","27","38"
,,"Q1 2017","112","65","47","24","20","3"
,,"Q2 2017","310","215","95","20","25","50"
,,"Q3 2017","469","322","147","49","51","47"
,,"Q4 2017","509","303","206","72","108","26"
,,"Q1 2018","199","83","116","6","8","102"
,,"Q2 2018","237","208","29","12","10","7"
,,"Q3 2018","399","287","112","35","47","30"
,,"Q4 2018","261","201","60","20","15","25"
,,"Q1 2019","58","41","17","10","3","4"
,,"Q2 2019","217","163","54","14","4","36"
,,"Q3 2019","315","237","78","22","22","34"
,,"Q4 2019","355","245","110","42","25","43"
,,"Q1 2020","60","39","21","6","6","9"
,,"Q2 2020","132","111","21","10","3","8"
,,"Q3 2020","285","219","66","20","3","43"
,,"Q4 2020","286","237","49","26","18","5"
,,"Q1 2021","155","121","34","15","18","1"
,,"Q2 2021","305","248","57","16","16","25"
,,"Q3 2021","263","211","52","24","16","12"
,,"Q4 2021","298","161","137","26","90","21"
,,"Q1 2022","223","170","53","24","9","20"
,,"Q2 2022","363","314","49","8","3","38"
,,"Q3 2022","458","330","128","14","7","107"
,,"Q4 2022","335","192","143","20","19","104"
,,"Q1 2023","100","82","18","0","7","11"
,,"Q2 2023","225","184","41","10","3","28"
,,"Q3 2023","411","283","128","50","0","78"
,,"Q4 2023","242","139","103","12","44","47"
,,"Q1 2024","263","158","105","12","12","81"
,,"Q2 2024","409","316","93","20","8","65"
,,"Q3 2024","527","321","206","32","7","167"
,,"Q4 2024","473","280","193","38","0","155"
,,"Q1 2025","165","96","69","16","6","47"
,,"Q2 2025","493","304","189","24","12","153"
,,"Q3 2025","443","317","126","18","36","72"
"Prince Edward Island",,"Q1 2010","43","33","10","6","4","0"
,,"Q2 2010","289","169","120","15","27","78"
,,"Q3 2010","216","115","101","32","9","60"
,,"Q4 2010","208","79","129","16","10","103"
,,"Q1 2011","101","49","52","20","11","21"
,,"Q2 2011","212","93","119","8","4","107"
,,"Q3 2011","324","134","190","24","26","140"
,,"Q4 2011","303","155","148","18","6","124"
,,"Q1 2012","43","41","2","2","0","0"
,,"Q2 2012","297","100","197","22","50","125"
,,"Q3 2012","350","145","205","36","32","137"
,,"Q4 2012","251","101","150","34","45","71"
,,"Q1 2013","164","27","137","12","8","117"
,,"Q2 2013","209","109","100","25","6","69"
,,"Q3 2013","145","95","50","18","8","24"
,,"Q4 2013","118","51","67","16","14","37"
,,"Q1 2014","54","30","24","2","15","7"
,,"Q2 2014","171","80","91","20","5","66"
,,"Q3 2014","120","89","31","16","10","5"
,,"Q4 2014","166","93","73","14","13","46"
,,"Q1 2015","91","24","67","12","0","55"
,,"Q2 2015","101","73","28","15","7","6"
,,"Q3 2015","201","131","70","10","15","45"
,,"Q4 2015","165","58","107","21","22","64"
,,"Q1 2016","67","32","35","5","4","26"
,,"Q2 2016","157","75","82","16","38","28"
,,"Q3 2016","245","132","113","11","45","57"
,,"Q4 2016","87","66","21","12","9","0"
,,"Q1 2017","136","91","45","13","17","15"
,,"Q2 2017","246","144","102","26","17","59"
