"Estimates of the components of natural increase, quarterly 1 2"
"Frequency: Quarterly"
"Table: 17-10-0059-01 (formerly CANSIM 053-0001)"
"Release date: 2025-09-24"
"Geography: Canada, Province or territory"
""
""

,"Estimates","Births 3 4","Deaths 5 6"
"Geography","Reference period"
,,"Number",
,"Q2 2025","341","390"
"Nova Scotia","Q1 2010","2,157","2,104"
,"Q2 2010","2,239","2,070"
,"Q3 2010","2,330","1,975"
,"Q4 2010","2,164","2,155"
,"Q1 2011","2,100","2,313"
,"Q2 2011","2,243","2,187"
,"Q3 2011","2,400","1,976"
,"Q4 2011","2,146","2,066"
,"Q1 2012","2,183","2,240"
,"Q2 2012","2,207","2,077"
,"Q3 2012","2,291","1,969"
,"Q4 2012","2,110","2,147"
,"Q1 2013","2,081","2,406"
,"Q2 2013","2,044","2,195"
,"Q3 2013","2,322","2,076"
,"Q4 2013","1,997","2,209"
,"Q1 2014","2,027","2,242"
,"Q2 2014","2,038","2,099"
,"Q3 2014","2,416","2,101"
,"Q4 2014","2,136","2,312"
,"Q1 2015","1,901","2,698"
,"Q2 2015","2,072","2,241"
,"Q3 2015","2,253","2,125"
,"Q4 2015","1,980","2,310"
,"Q1 2016","2,017","2,338"
,"Q2 2016","2,111","2,181"
,"Q3 2016","2,163","2,149"
,"Q4 2016","2,020","2,327"
,"Q1 2017","1,927","2,556"
,"Q2 2017","2,111","2,318"
,"Q3 2017","2,219","2,289"
,"Q4 2017","1,981","2,387"
,"Q1 2018","1,913","2,606"
,"Q2 2018","1,993","2,377"
,"Q3 2018","2,151","2,222"
,"Q4 2018","1,892","2,504"
,"Q1 2019","1,894","2,673"
,"Q2 2019","2,030","2,375"
,"Q3 2019","2,210","2,277"
,"Q4 2019","1,965","2,509"
,"Q1 2020","1,843","2,611"
,"Q2 2020","1,966","2,448"
,"Q3 2020","1,969","2,379"
,"Q4 2020","1,852","2,596"
,"Q1 2021","1,868","2,542"
,"Q2 2021","1,994","2,439"
,"Q3 2021","2,153","2,467"
,"Q4 2021","1,928","2,778"
,"Q1 2022","1,853","2,920"
,"Q2 2022","2,005","2,675"
,"Q3 2022","2,135","2,797"
,"Q4 2022","1,884","2,996"
,"Q1 2023","1,882","2,816"
,"Q2 2023","2,037","2,580"
,"Q3 2023","2,170","2,697"
,"Q4 2023","1,914","2,889"
,"Q1 2024","1,932","2,859"
,"Q2 2024","1,920","2,620"
,"Q3 2024","2,079","2,738"
,"Q4 2024","1,938","2,933"
,"Q1 2025","1,969","2,918"
,"Q2 2025","1,949","2,673"
"New Brunswick","Q1 2010","1,791","1,600"
,"Q2 2010","1,848","1,594"
,"Q3 2010","1,969","1,517"
,"Q4 2010","1,748","1,604"
,"Q1 2011","1,700","1,709"
,"Q2 2011","1,723","1,638"
,"Q3 2011","1,978","1,509"
,"Q4 2011","1,727","1,556"
,"Q1 2012","1,712","1,724"
,"Q2 2012","1,833","1,571"
,"Q3 2012","1,895","1,510"
,"Q4 2012","1,619","1,641"
,"Q1 2013","1,701","1,768"
,"Q2 2013","1,712","1,610"
,"Q3 2013","1,913","1,570"
,"Q4 2013","1,633","1,687"
,"Q1 2014","1,665","1,769"
,"Q2 2014","1,834","1,608"
,"Q3 2014","1,831","1,702"
,"Q4 2014","1,652","1,773"
,"Q1 2015","1,624","2,154"
,"Q2 2015","1,586","1,772"
,"Q3 2015","1,824","1,558"
,"Q4 2015","1,569","1,794"
,"Q1 2016","1,541","1,849"
,"Q2 2016","1,713","1,776"
,"Q3 2016","1,830","1,751"
,"Q4 2016","1,539","1,798"
,"Q1 2017","1,559","2,007"
,"Q2 2017","1,665","1,842"
,"Q3 2017","1,716","1,757"
,"Q4 2017","1,602","1,888"
,"Q1 2018","1,482","2,066"
,"Q2 2018","1,626","1,904"
,"Q3 2018","1,714","1,723"
,"Q4 2018","1,548","1,962"
,"Q1 2019","1,505","2,010"
,"Q2 2019","1,602","1,940"
,"Q3 2019","1,696","1,855"
,"Q4 2019","1,475","1,991"
,"Q1 2020","1,448","1,918"
,"Q2 2020","1,609","1,822"
,"Q3 2020","1,695","1,809"
,"Q4 2020","1,460","1,946"
,"Q1 2021","1,511","2,002"
,"Q2 2021","1,615","1,876"
,"Q3 2021","1,764","1,983"
,"Q4 2021","1,583","2,248"
,"Q1 2022","1,422","2,388"
,"Q2 2022","1,610","2,176"
,"Q3 2022","1,638","2,168"
,"Q4 2022","1,550","2,493"
,"Q1 2023","1,446","2,294"
,"Q2 2023","1,511","2,022"
,"Q3 2023","1,572","2,001"
,"Q4 2023","1,526","2,335"
,"Q1 2024","1,598","2,340"
,"Q2 2024","1,642","2,062"
,"Q3 2024","1,748","2,041"
,"Q4 2024","1,555","2,381"
,"Q1 2025","1,643","2,374"
,"Q2 2025","1,672","2,092"
"Quebec","Q1 2010","20,845","15,068"
,"Q2 2010","22,020","14,268"
,"Q3 2010","23,802","14,292"
,"Q4 2010","21,798","15,280"
,"Q1 2011","20,866","16,438"
,"Q2 2011","22,196","14,432"
,"Q3 2011","23,935","13,872"
,"Q4 2011","21,659","14,940"
,"Q1 2012","20,994","16,126"
,"Q2 2012","21,894","14,604"
,"Q3 2012","23,655","14,328"
,"Q4 2012","22,385","15,938"
,"Q1 2013","20,799","17,233"
,"Q2 2013","22,388","14,584"
,"Q3 2013","23,658","14,244"
,"Q4 2013","22,017","15,225"
,"Q1 2014","20,857","16,673"
,"Q2 2014","22,058","15,062"
,"Q3 2014","23,561","14,527"
,"Q4 2014","21,560","16,958"
,"Q1 2015","20,400","18,599"
,"Q2 2015","21,855","15,280"
,"Q3 2015","23,317","14,254"
,"Q4 2015","21,478","16,069"
,"Q1 2016","20,579","17,040"
,"Q2 2016","21,573","15,630"
,"Q3 2016","23,235","14,692"
,"Q4 2016","20,939","16,437"
,"Q1 2017","19,812","18,148"
,"Q2 2017","20,715","15,914"
,"Q3 2017","22,550","14,969"
,"Q4 2017","20,789","17,039"
,"Q1 2018","19,548","19,498"
,"Q2 2018","21,111","16,337"
,"Q3 2018","22,557","15,726"
,"Q4 2018","20,630","17,234"
,"Q1 2019","19,535","17,990"
,"Q2 2019","21,142","16,603"
,"Q3 2019","22,946","15,548"
,"Q4 2019","20,694","17,445"
,"Q1 2020","20,131","18,699"
,"Q2 2020","20,774","21,119"
,"Q3 2020","21,720","15,918"
,"Q4 2020","19,394","19,103"
,"Q1 2021","19,565","18,407"
,"Q2 2021","21,417","16,294"
,"Q3 2021","23,189","16,532"
,"Q4 2021","20,954","18,662"
,"Q1 2022","19,263","20,435"
,"Q2 2022","20,110","18,091"
,"Q3 2022","21,371","18,396"
,"Q4 2022","19,977","21,501"
,"Q1 2023","18,247","20,082"
,"Q2 2023","19,513","18,315"
,"Q3 2023","20,563","18,025"
,"Q4 2023","19,579","21,057"
,"Q1 2024","18,556","21,400"
,"Q2 2024","19,225","18,800"
,"Q3 2024","20,298","18,500"
,"Q4 2024","18,973","20,100"
,"Q1 2025","18,550","22,500"
,"Q2 2025","19,350","18,600"
"Ontario","Q1 2010","33,945","23,043"
,"Q2 2010","35,548","21,254"
,"Q3 2010","36,794","21,415"
,"Q4 2010","35,196","23,595"
,"Q1 2011","33,444","24,196"
,"Q2 2011","35,639","21,991"
,"Q3 2011","37,623","21,061"
,"Q4 2011","34,850","22,739"
,"Q1 2012","34,333","23,281"
,"Q2 2012","35,513","21,869"
,"Q3 2012","37,716","21,494"
,"Q4 2012","35,171","24,130"
,"Q1 2013","33,664","25,119"
,"Q2 2013","34,958","22,340"
,"Q3 2013","37,200","21,804"
,"Q4 2013","34,550","24,089"
