"Estimates of the components of interprovincial migration, quarterly 1 2 3 4 5"
"Frequency: Quarterly"
"Table: 17-10-0020-01 (formerly CANSIM 051-0017)"
"Release date: 2025-09-24"
"Geography: Canada, Province or territory"
""
""

,"Interprovincial migration","In-migrants","Out-migrants"
"Geography","Reference period"
,,"Persons",
"Canada 6 7 8","Q1 2010","62,564","62,564"
,"Q2 2010","74,544","74,544"
,"Q3 2010","76,021","76,021"
,"Q4 2010","50,002","50,002"
,"Q1 2011","58,571","58,571"
,"Q2 2011","72,491","72,491"
,"Q3 2011","89,862","89,862"
,"Q4 2011","55,322","55,322"
,"Q1 2012","69,238","69,238"
,"Q2 2012","90,003","90,003"
,"Q3 2012","85,820","85,820"
,"Q4 2012","47,531","47,531"
,"Q1 2013","62,699","62,699"
,"Q2 2013","96,253","96,253"
,"Q3 2013","81,855","81,855"
,"Q4 2013","52,761","52,761"
,"Q1 2014","67,097","67,097"
,"Q2 2014","102,756","102,756"
,"Q3 2014","79,966","79,966"
,"Q4 2014","51,170","51,170"
,"Q1 2015","74,452","74,452"
,"Q2 2015","108,765","108,765"
,"Q3 2015","87,901","87,901"
,"Q4 2015","47,708","47,708"
,"Q1 2016","70,384","70,384"
,"Q2 2016","98,130","98,130"
,"Q3 2016","83,965","83,965"
,"Q4 2016","43,017","43,017"
,"Q1 2017","67,121","67,121"
,"Q2 2017","95,870","95,870"
,"Q3 2017","74,564","74,564"
,"Q4 2017","47,162","47,162"
,"Q1 2018","65,794","65,794"
,"Q2 2018","100,935","100,935"
,"Q3 2018","71,976","71,976"
,"Q4 2018","49,822","49,822"
,"Q1 2019","61,423","61,423"
,"Q2 2019","97,002","97,002"
,"Q3 2019","85,614","85,614"
,"Q4 2019","52,884","52,884"
,"Q1 2020","77,247","77,247"
,"Q2 2020","94,097","94,097"
,"Q3 2020","57,002","57,002"
,"Q4 2020","40,587","40,587"
,"Q1 2021","69,630","69,630"
,"Q2 2021","108,030","108,030"
,"Q3 2021","95,279","95,279"
,"Q4 2021","59,264","59,264"
,"Q1 2022","83,421","83,421"
,"Q2 2022","145,159","145,159"
,"Q3 2022","99,721","99,721"
,"Q4 2022","63,151","63,151"
,"Q1 2023","96,160","96,160"
,"Q2 2023","121,205","121,205"
,"Q3 2023","96,900","96,900"
,"Q4 2023","57,879","57,879"
,"Q1 2024","94,758","94,758"
,"Q2 2024","123,986","123,986"
,"Q3 2024","80,146","80,146"
,"Q4 2024","46,800","46,800"
,"Q1 2025","81,108","81,108"
,"Q2 2025","110,188","110,188"
"Newfoundland and Labrador 6","Q1 2010","2,392","2,154"
,"Q2 2010","2,108","2,246"
,"Q3 2010","1,904","2,208"
,"Q4 2010","1,698","1,345"
,"Q1 2011","2,012","2,081"
,"Q2 2011","2,171","2,121"
,"Q3 2011","2,719","2,172"
,"Q4 2011","1,517","1,294"
,"Q1 2012","2,288","2,763"
,"Q2 2012","2,762","2,512"
,"Q3 2012","2,204","1,923"
,"Q4 2012","1,319","1,140"
,"Q1 2013","2,162","1,860"
,"Q2 2013","2,580","2,847"
,"Q3 2013","1,805","1,860"
,"Q4 2013","1,220","978"
,"Q1 2014","1,839","2,098"
,"Q2 2014","2,923","2,617"
,"Q3 2014","1,619","1,866"
,"Q4 2014","1,155","1,001"
,"Q1 2015","2,241","1,993"
,"Q2 2015","2,772","2,766"
,"Q3 2015","1,871","1,811"
,"Q4 2015","1,091","1,036"
,"Q1 2016","2,102","1,942"
,"Q2 2016","2,397","2,440"
,"Q3 2016","1,445","1,965"
,"Q4 2016","883","946"
,"Q1 2017","1,584","2,054"
,"Q2 2017","2,251","2,628"
,"Q3 2017","1,422","2,187"
,"Q4 2017","934","1,184"
,"Q1 2018","1,398","2,169"
,"Q2 2018","2,146","3,093"
,"Q3 2018","1,312","1,868"
,"Q4 2018","837","1,522"
,"Q1 2019","1,429","1,964"
,"Q2 2019","1,966","2,787"
,"Q3 2019","1,732","2,253"
,"Q4 2019","862","1,170"
,"Q1 2020","1,715","2,179"
,"Q2 2020","1,769","2,492"
,"Q3 2020","1,149","1,482"
,"Q4 2020","809","769"
,"Q1 2021","1,392","1,207"
,"Q2 2021","2,730","2,095"
,"Q3 2021","1,779","1,681"
,"Q4 2021","1,402","882"
,"Q1 2022","2,203","1,866"
,"Q2 2022","3,413","2,566"
,"Q3 2022","1,866","1,770"
,"Q4 2022","1,550","1,068"
,"Q1 2023","2,265","2,121"
,"Q2 2023","2,552","2,214"
,"Q3 2023","1,983","1,765"
,"Q4 2023","1,034","970"
,"Q1 2024","2,187","1,799"
,"Q2 2024","2,838","2,417"
,"Q3 2024","1,485","1,872"
,"Q4 2024","828","794"
,"Q1 2025","1,774","1,626"
,"Q2 2025","2,367","2,097"
"Prince Edward Island 6","Q1 2010","716","603"
,"Q2 2010","811","798"
,"Q3 2010","675","874"
,"Q4 2010","434","494"
,"Q1 2011","534","546"
,"Q2 2011","851","790"
,"Q3 2011","904","1,042"
,"Q4 2011","468","693"
,"Q1 2012","787","728"
,"Q2 2012","770","1,084"
,"Q3 2012","701","1,009"
,"Q4 2012","336","687"
,"Q1 2013","675","764"
,"Q2 2013","1,013","1,166"
,"Q3 2013","695","975"
,"Q4 2013","391","599"
,"Q1 2014","478","718"
,"Q2 2014","809","1,022"
,"Q3 2014","558","855"
,"Q4 2014","357","506"
,"Q1 2015","694","805"
,"Q2 2015","1,077","1,202"
,"Q3 2015","680","774"
,"Q4 2015","492","500"
,"Q1 2016","747","607"
,"Q2 2016","1,145","1,153"
,"Q3 2016","734","927"
,"Q4 2016","432","331"
,"Q1 2017","873","744"
,"Q2 2017","1,432","1,025"
,"Q3 2017","692","802"
,"Q4 2017","506","625"
,"Q1 2018","699","706"
,"Q2 2018","1,634","1,221"
,"Q3 2018","974","878"
,"Q4 2018","532","511"
,"Q1 2019","790","665"
,"Q2 2019","1,515","1,095"
,"Q3 2019","857","1,056"
,"Q4 2019","1,016","790"
,"Q1 2020","1,295","680"
,"Q2 2020","1,648","1,140"
,"Q3 2020","592","664"
,"Q4 2020","481","607"
,"Q1 2021","1,196","726"
,"Q2 2021","1,949","1,001"
,"Q3 2021","1,314","994"
,"Q4 2021","939","705"
