reference_period,province,population,quarter,year,quarter_date
Q1 2022,Quebec,8613282,Q1,2022,2022-03-31
Q2 2022,Quebec,8628480,Q2,2022,2022-06-30
Q3 2022,Quebec,8669963,Q3,2022,2022-09-30
Q4 2022,Quebec,8718914,Q4,2022,2022-12-31
Q1 2023,Quebec,8742975,Q1,2023,2023-03-31
Q2 2023,Quebec,8772140,Q2,2023,2023-06-30
Q3 2023,Quebec,8821696,Q3,2023,2023-09-30
Q4 2023,Quebec,8882501,Q4,2023,2023-12-31
Q1 2024,Quebec,8909038,Q1,2024,2024-03-31
Q2 2024,Quebec,8945468,Q2,2024,2024-06-30
Q3 2024,Quebec,8995474,Q3,2024,2024-09-30
Q4 2024,Quebec,9038268,Q4,2024,2024-12-31
Q1 2025,Quebec,9043463,Q1,2025,2025-03-31
Q2 2025,Quebec,9041123,Q2,2025,2025-06-30
Q3 2025,Quebec,9058297,Q3,2025,2025-09-30
Q1 2010,Saskatchewan,1042936,Q1,2010,2010-03-31
Q2 2010,Saskatchewan,1046779,Q2,2010,2010-06-30
Q3 2010,Saskatchewan,1051426,Q3,2010,2010-09-30
Q4 2010,Saskatchewan,1056102,Q4,2010,2010-12-31
Q1 2011,Saskatchewan,1058969,Q1,2011,2011-03-31
Q2 2011,Saskatchewan,1061484,Q2,2011,2011-06-30
Q3 2011,Saskatchewan,1065661,Q3,2011,2011-09-30
Q4 2011,Saskatchewan,1069950,Q4,2011,2011-12-31
Q1 2012,Saskatchewan,1073565,Q1,2012,2012-03-31
Q2 2012,Saskatchewan,1077170,Q2,2012,2012-06-30
Q3 2012,Saskatchewan,1083005,Q3,2012,2012-09-30
Q4 2012,Saskatchewan,1088177,Q4,2012,2012-12-31
Q1 2013,Saskatchewan,1090738,Q1,2013,2013-03-31
Q2 2013,Saskatchewan,1093549,Q2,2013,2013-06-30
Q3 2013,Saskatchewan,1098868,Q3,2013,2013-09-30
Q4 2013,Saskatchewan,1102832,Q4,2013,2013-12-31
Q1 2014,Saskatchewan,1105444,Q1,2014,2014-03-31
Q2 2014,Saskatchewan,1108674,Q2,2014,2014-06-30
Q3 2014,Saskatchewan,1111989,Q3,2014,2014-09-30
Q4 2014,Saskatchewan,1115184,Q4,2014,2014-12-31
Q1 2015,Saskatchewan,1117137,Q1,2015,2015-03-31
Q2 2015,Saskatchewan,1117736,Q2,2015,2015-06-30
Q3 2015,Saskatchewan,1122210,Q3,2015,2015-09-30
Q4 2015,Saskatchewan,1125588,Q4,2015,2015-12-31
Q1 2016,Saskatchewan,1128160,Q1,2016,2016-03-31
Q2 2016,Saskatchewan,1131285,Q2,2016,2016-06-30
Q3 2016,Saskatchewan,1135496,Q3,2016,2016-09-30
Q4 2016,Saskatchewan,1139492,Q4,2016,2016-12-31
Q1 2017,Saskatchewan,1141537,Q1,2017,2017-03-31
Q2 2017,Saskatchewan,1143829,Q2,2017,2017-06-30
Q3 2017,Saskatchewan,1147315,Q3,2017,2017-09-30
Q4 2017,Saskatchewan,1151044,Q4,2017,2017-12-31
Q1 2018,Saskatchewan,1152366,Q1,2018,2018-03-31
Q2 2018,Saskatchewan,1153530,Q2,2018,2018-06-30
Q3 2018,Saskatchewan,1156210,Q3,2018,2018-09-30
Q4 2018,Saskatchewan,1159648,Q4,2018,2018-12-31
Q1 2019,Saskatchewan,1161529,Q1,2019,2019-03-31
Q2 2019,Saskatchewan,1161787,Q2,2019,2019-06-30
Q3 2019,Saskatchewan,1164223,Q3,2019,2019-09-30
Q4 2019,Saskatchewan,1167271,Q4,2019,2019-12-31
Q1 2020,Saskatchewan,1169426,Q1,2020,2020-03-31
Q2 2020,Saskatchewan,1169038,Q2,2020,2020-06-30
Q3 2020,Saskatchewan,1167386,Q3,2020,2020-09-30
Q4 2020,Saskatchewan,1165963,Q4,2020,2020-12-31
Q1 2021,Saskatchewan,1166348,Q1,2021,2021-03-31
Q2 2021,Saskatchewan,1167711,Q2,2021,2021-06-30
Q3 2021,Saskatchewan,1167711,Q3,2021,2021-09-30
Q4 2021,Saskatchewan,1168934,Q4,2021,2021-12-31
Q1 2022,Saskatchewan,1171063,Q1,2022,2022-03-31
Q2 2022,Saskatchewan,1173461,Q2,2022,2022-06-30
Q3 2022,Saskatchewan,1178796,Q3,2022,2022-09-30
Q4 2022,Saskatchewan,1188295,Q4,2022,2022-12-31
Q1 2023,Saskatchewan,1195840,Q1,2023,2023-03-31
Q2 2023,Saskatchewan,1201624,Q2,2023,2023-06-30
Q3 2023,Saskatchewan,1210257,Q3,2023,2023-09-30
Q4 2023,Saskatchewan,1222152,Q4,2023,2023-12-31
Q1 2024,Saskatchewan,1230316,Q1,2024,2024-03-31
Q2 2024,Saskatchewan,1238591,Q2,2024,2024-06-30
Q3 2024,Saskatchewan,1247868,Q3,2024,2024-09-30
Q4 2024,Saskatchewan,1256983,Q4,2024,2024-12-31
Q1 2025,Saskatchewan,1261524,Q1,2025,2025-03-31
Q2 2025,Saskatchewan,1264537,Q2,2025,2025-06-30
Q3 2025,Saskatchewan,1266959,Q3,2025,2025-09-30
Q1 2010,Yukon,34009,Q1,2010,2010-03-31
Q2 2010,Yukon,34243,Q2,2010,2010-06-30
Q3 2010,Yukon,34598,Q3,2010,2010-09-30
Q4 2010,Yukon,34790,Q4,2010,2010-12-31
Q1 2011,Yukon,34802,Q1,2011,2011-03-31
Q2 2011,Yukon,34984,Q2,2011,2011-06-30
Q3 2011,Yukon,35366,Q3,2011,2011-09-30
Q4 2011,Yukon,35578,Q4,2011,2011-12-31
Q1 2012,Yukon,35695,Q1,2012,2012-03-31
Q2 2012,Yukon,35757,Q2,2012,2012-06-30
Q3 2012,Yukon,36151,Q3,2012,2012-09-30
Q4 2012,Yukon,36347,Q4,2012,2012-12-31
Q1 2013,Yukon,36299,Q1,2013,2013-03-31
Q2 2013,Yukon,36242,Q2,2013,2013-06-30
Q3 2013,Yukon,36454,Q3,2013,2013-09-30
Q4 2013,Yukon,36384,Q4,2013,2013-12-31
Q1 2014,Yukon,36333,Q1,2014,2014-03-31
Q2 2014,Yukon,36626,Q2,2014,2014-06-30
Q3 2014,Yukon,37085,Q3,2014,2014-09-30
Q4 2014,Yukon,37223,Q4,2014,2014-12-31
Q1 2015,Yukon,37123,Q1,2015,2015-03-31
Q2 2015,Yukon,37330,Q2,2015,2015-06-30
Q3 2015,Yukon,37669,Q3,2015,2015-09-30
Q4 2015,Yukon,37730,Q4,2015,2015-12-31
Q1 2016,Yukon,37756,Q1,2016,2016-03-31
Q2 2016,Yukon,38025,Q2,2016,2016-06-30
Q3 2016,Yukon,38549,Q3,2016,2016-09-30
Q4 2016,Yukon,38724,Q4,2016,2016-12-31
Q1 2017,Yukon,38801,Q1,2017,2017-03-31
Q2 2017,Yukon,39108,Q2,2017,2017-06-30
Q3 2017,Yukon,39533,Q3,2017,2017-09-30
Q4 2017,Yukon,39705,Q4,2017,2017-12-31
Q1 2018,Yukon,39873,Q1,2018,2018-03-31
Q2 2018,Yukon,40037,Q2,2018,2018-06-30
Q3 2018,Yukon,40403,Q3,2018,2018-09-30
Q4 2018,Yukon,40533,Q4,2018,2018-12-31
Q1 2019,Yukon,40716,Q1,2019,2019-03-31
Q2 2019,Yukon,40779,Q2,2019,2019-06-30
Q3 2019,Yukon,41187,Q3,2019,2019-09-30
Q4 2019,Yukon,41460,Q4,2019,2019-12-31
Q1 2020,Yukon,41505,Q1,2020,2020-03-31
Q2 2020,Yukon,41807,Q2,2020,2020-06-30
Q3 2020,Yukon,41958,Q3,2020,2020-09-30
Q4 2020,Yukon,42109,Q4,2020,2020-12-31
Q1 2021,Yukon,42157,Q1,2021,2021-03-31
Q2 2021,Yukon,42443,Q2,2021,2021-06-30
Q3 2021,Yukon,42961,Q3,2021,2021-09-30
Q4 2021,Yukon,43129,Q4,2021,2021-12-31
Q1 2022,Yukon,43046,Q1,2022,2022-03-31
Q2 2022,Yukon,43400,Q2,2022,2022-06-30
Q3 2022,Yukon,43869,Q3,2022,2022-09-30
Q4 2022,Yukon,44169,Q4,2022,2022-12-31
Q1 2023,Yukon,44478,Q1,2023,2023-03-31
Q2 2023,Yukon,44823,Q2,2023,2023-06-30
Q3 2023,Yukon,45419,Q3,2023,2023-09-30
Q4 2023,Yukon,45898,Q4,2023,2023-12-31
Q1 2024,Yukon,46286,Q1,2024,2024-03-31
Q2 2024,Yukon,46965,Q2,2024,2024-06-30
Q3 2024,Yukon,47595,Q3,2024,2024-09-30
Q4 2024,Yukon,47939,Q4,2024,2024-12-31
Q1 2025,Yukon,48176,Q1,2025,2025-03-31
Q2 2025,Yukon,48089,Q2,2025,2025-06-30
Q3 2025,Yukon,48278,Q3,2025,2025-09-30
