province,year,quarter,quarter_date,target_rate
Alberta,2010,Q1,2010-03-31,0.25
Alberta,2010,Q2,2010-06-30,0.3346153846153846
Alberta,2010,Q3,2010-09-30,0.7651515151515151
Alberta,2010,Q4,2010-12-31,1.0
Alberta,2011,Q1,2011-03-31,1.0
Alberta,2011,Q2,2011-06-30,1.0
Alberta,2011,Q3,2011-09-30,1.0
Alberta,2011,Q4,2011-12-31,1.0
Alberta,2012,Q1,2012-03-31,1.0
Alberta,2012,Q2,2012-06-30,1.0
Alberta,2012,Q3,2012-09-30,1.0
Alberta,2012,Q4,2012-12-31,1.0
Alberta,2013,Q1,2013-03-31,1.0
Alberta,2013,Q2,2013-06-30,1.0
Alberta,2013,Q3,2013-09-30,1.0
Alberta,2013,Q4,2013-12-31,1.0
Alberta,2014,Q1,2014-03-31,1.0
Alberta,2014,Q2,2014-06-30,1.0
Alberta,2014,Q3,2014-09-30,1.0
Alberta,2014,Q4,2014-12-31,1.0
Alberta,2015,Q1,2015-03-31,0.8046875
